"subjID","reward","subject","X","Y","loss_shift","reward_shift"
"1532868330_59.csv",28,"Human",51,49,0.380281690140845,0.607142857142857
"1532868334_55.csv",26,"Human",44,56,0.493150684931507,0.346153846153846
"1532868339_1.csv",28,"Human",56,44,0.492957746478873,0.25
"1532868340_38.csv",29,"Human",57,43,0.535211267605634,0.464285714285714
"1532868342_68.csv",25,"Human",48,51,0.581081081081081,0.24
"1532868347_33.csv",22,"Human",55,45,0.584415584415584,0.181818181818182
"1532868348_18.csv",25,"Human",100,0,0,0
"1532868348_69.csv",24,"Human",38,62,0.653333333333333,0.208333333333333
"1532868350_60.csv",24,"Human",97,3,0.0533333333333333,0
"1532868355_23.csv",27,"Human",43,57,0.684931506849315,0.538461538461538
"1532868357_61.csv",23,"Human",37,63,0.25,0.304347826086957
"1532868362_33.csv",25,"Human",40,60,0.324324324324324,0.4
"1532868362_84.csv",29,"Human",44,56,0.242857142857143,0.448275862068966
"1532868370_56.csv",27,"Human",59,41,0.191780821917808,0.423076923076923
"1532868372_3.csv",22,"Human",63,36,0.558441558441558,0.5
"1532868377_58.csv",25,"Human",43,56,0.608108108108108,0.08
"1532868379_45.csv",21,"Human",50,50,0.538461538461538,0.428571428571429
"1532868387_8.csv",21,"Human",45,55,0.730769230769231,0.19047619047619
"1532868397_59.csv",24,"Human",47,52,0.52,0.333333333333333
"1532868411_76.csv",23,"Human",51,49,0.701298701298701,0.409090909090909
"1532868427_45.csv",24,"Human",65,34,0.52,0.25
"1532868449_65.csv",25,"Human",45,55,0.391891891891892,0.6
"1532868465_90.csv",33,"Human",56,43,0.696969696969697,0.303030303030303
"1532868575_51.csv",26,"Human",56,44,0.767123287671233,0.192307692307692
"1532868640_39.csv",23,"Human",57,43,0.56578947368421,0.347826086956522
"1532868696_19.csv",27,"Human",38,61,0.666666666666667,0.444444444444444
"1532868744_88.csv",26,"Human",56,43,0.643835616438356,0.307692307692308
"1532868925_31.csv",21,"Human",27,72,0.474358974358974,0.238095238095238
"1532868939_72.csv",28,"Human",45,54,0.929577464788732,0.821428571428571
"1532869183_48.csv",25,"Human",30,70,0.48,0.291666666666667
"1532869241_23.csv",19,"Human",56,44,0.5875,0
"1532869529_54.csv",26,"Human",57,42,0.506849315068493,0.192307692307692
"1532869609_8.csv",25,"Human",51,49,0.24,0.166666666666667
"1532869997_43.csv",16,"Human",53,47,0.578313253012048,0.1875
"1532870320_25.csv",25,"Human",59,41,0.554054054054054,0.44
"1532872625_43.csv",28,"Human",13,86,0.211267605633803,0.0714285714285714
"1532872628_54.csv",22,"Human",5,94,0.142857142857143,0
"1532874586_37.csv",26,"Human",46,53,0.273972602739726,0.307692307692308
"1532875795_56.csv",27,"Human",63,37,0.402777777777778,0.111111111111111
"1532876153_63.csv",26,"Human",51,49,0.767123287671233,0.730769230769231
"1534329735_33.csv",27,"Human",61,39,0.616438356164384,0.730769230769231
"1534329740_34.csv",22,"Human",57,42,0.38961038961039,0.181818181818182
"1534329745_100.csv",25,"Human",18,82,0.189189189189189,0.2
"1534329746_63.csv",27,"Human",32,68,0.246575342465753,0.0384615384615385
"1534329747_85.csv",23,"Human",55,45,0.368421052631579,0.130434782608696
"1534329747_89.csv",23,"Human",53,47,0.210526315789474,0.0869565217391304
"1534329748_41.csv",24,"Human",9,90,0.16,0.0833333333333333
"1534329748_48.csv",18,"Human",39,60,0.45679012345679,0.777777777777778
"1534329748_87.csv",31,"Human",62,37,0.705882352941177,0.225806451612903
"1534329749_62.csv",28,"Human",74,25,0.352112676056338,0.178571428571429
"1534329752_7.csv",23,"Human",51,49,0.75,0.608695652173913
"1534329752_80.csv",29,"Human",36,64,0.76056338028169,0.392857142857143
"1534329752_88.csv",23,"Human",55,45,0.697368421052632,0.521739130434783
"1534329753_1.csv",31,"Human",60,40,0.661764705882353,0.258064516129032
"1534329753_99.csv",26,"Human",46,53,0.849315068493151,0.653846153846154
"1534329754_11.csv",28,"Human",53,46,0.732394366197183,0.321428571428571
"1534329755_6.csv",21,"Human",34,66,0.423076923076923,0.285714285714286
"1534329756_37.csv",25,"Human",47,52,0.824324324324324,0.76
"1534329757_31.csv",23,"Human",49,51,0.61038961038961,0.363636363636364
"1534329758_76.csv",20,"Human",64,35,0.556962025316456,0.05
"1534329758_82.csv",33,"Human",42,58,0.358208955223881,0.25
"1534329760_89.csv",30,"Human",11,88,0.159420289855072,0.133333333333333
"1534329763_25.csv",24,"Human",50,50,0.506666666666667,0.333333333333333
"1534329763_4.csv",27,"Human",30,70,0.561643835616438,0.153846153846154
"1534329764_20.csv",26,"Human",82,17,0.0410958904109589,0.0384615384615385
"1534329765_29.csv",25,"Human",46,54,0.743243243243243,0.84
"1534329766_14.csv",24,"Human",58,42,0.773333333333333,0.375
"1534329766_38.csv",24,"Human",94,5,0.106666666666667,0.125
"1534329766_60.csv",26,"Human",30,69,0.36986301369863,0.192307692307692
"1534329767_50.csv",22,"Human",60,39,0.779220779220779,0.363636363636364
"1534329768_55.csv",19,"Human",32,67,0.375,0
"1534329769_30.csv",22,"Human",31,69,0.454545454545455,0.181818181818182
"1534329769_97.csv",25,"Human",40,60,0.418918918918919,0.48
"1534329771_26.csv",26,"Human",24,76,0.0684931506849315,0
"1534329771_81.csv",21,"Human",45,55,0.769230769230769,0.571428571428571
"1534329772_8.csv",27,"Human",48,52,0.513888888888889,0.333333333333333
"1534329772_98.csv",26,"Human",52,47,0.753424657534247,0.923076923076923
"1534329773_35.csv",26,"Human",51,49,0.726027397260274,0.346153846153846
"1534329774_42.csv",23,"Human",21,78,0.447368421052632,0.130434782608696
"1534329777_7.csv",26,"Human",47,52,0.821917808219178,0.5
"1534329785_69.csv",26,"Human",58,42,0.63013698630137,0.307692307692308
"1534329786_5.csv",22,"Human",41,58,0.597402597402597,0.227272727272727
"1534329788_25.csv",20,"Human",44,56,0.455696202531646,0.4
"1534329788_83.csv",28,"Human",81,19,0.112676056338028,0.0357142857142857
"1534329792_87.csv",28,"Human",53,47,0.563380281690141,0.357142857142857
"1534329793_94.csv",26,"Human",25,74,0.438356164383562,0.269230769230769
"1534329795_80.csv",26,"Human",33,67,0.342465753424658,0.115384615384615
"1534329796_22.csv",26,"Human",37,62,0.47945205479452,0.423076923076923
"1534329796_91.csv",23,"Human",18,81,0.355263157894737,0.0869565217391304
"1534329799_13.csv",28,"Human",30,70,0.458333333333333,0.185185185185185
"1534329802_45.csv",25,"Human",24,75,0.540540540540541,0.36
"1534329803_60.csv",26,"Human",4,95,0.0958904109589041,0.0769230769230769
"1534329803_78.csv",28,"Human",46,54,0.661971830985915,0.785714285714286
"1534329804_6.csv",26,"Human",40,60,0.547945205479452,0.0769230769230769
"1534329806_29.csv",22,"Human",53,47,0.48051948051948,0.0454545454545455
"1534329807_33.csv",26,"Human",49,51,0.575342465753425,0.692307692307692
"1534329807_50.csv",24,"Human",44,56,0.644736842105263,0.347826086956522
"1534329808_59.csv",19,"Human",32,67,0.55,0.368421052631579
"1534329811_47.csv",26,"Human",51,48,0.616438356164384,0.538461538461538
"1534329815_13.csv",23,"Human",21,79,0.210526315789474,0
"1534329817_15.csv",22,"Human",42,58,0.571428571428571,0.363636363636364
"1534329827_62.csv",29,"Human",64,36,0.647887323943662,0.571428571428571
"1534329830_46.csv",24,"Human",36,63,0.44,0.0833333333333333
"1534329841_60.csv",18,"Human",41,58,0.82716049382716,0.777777777777778
"1534329861_77.csv",28,"Human",56,44,0.591549295774648,0.142857142857143
"1534329865_55.csv",29,"Human",43,56,0.714285714285714,0.655172413793103
"1534329866_74.csv",21,"Human",49,51,0.974358974358974,1
"1534329867_73.csv",26,"Human",51,48,0.876712328767123,0.576923076923077
"1534329873_22.csv",23,"Human",7,93,0.0657894736842105,0
"1534329893_45.csv",31,"Human",41,59,0.25,0.0967741935483871
"1534329895_56.csv",24,"Human",52,47,0.706666666666667,0.583333333333333
"1534329904_13.csv",27,"Human",38,61,0.736111111111111,0.259259259259259
"1534329906_77.csv",22,"Human",41,59,0.756410256410256,0.761904761904762
"1534329910_1.csv",26,"Human",46,53,0.575342465753425,0.692307692307692
"1534329915_39.csv",23,"Human",62,37,0.302631578947368,0.391304347826087
"1534329918_81.csv",25,"Human",45,54,0.810810810810811,0.48
"1534329939_84.csv",26,"Human",50,49,0.465753424657534,0.692307692307692
"1534329977_29.csv",28,"Human",29,71,0.563380281690141,0.285714285714286
"1534329993_39.csv",27,"Human",56,44,0.486111111111111,0.148148148148148
"1534330047_1.csv",28,"Human",51,48,0.549295774647887,0.25
"1534330088_85.csv",23,"Human",54,46,0.776315789473684,0.739130434782609
"1534330110_59.csv",29,"Human",67,33,0.169014084507042,0.0357142857142857
"1534330115_59.csv",24,"Human",45,54,0.546666666666667,0.375
"1534330313_75.csv",29,"Human",33,67,0.528571428571429,0.0689655172413793
"1534330321_46.csv",22,"Human",66,34,0.649350649350649,0.409090909090909
"1534330323_41.csv",26,"Human",7,93,0.164383561643836,0.0769230769230769
"1534330337_44.csv",28,"Human",52,48,0.535211267605634,0.464285714285714
"1534330421_34.csv",25,"Human",40,59,0.608108108108108,0.68
"1534330525_10.csv",29,"Human",78,22,0.428571428571429,0.206896551724138
"1534330735_17.csv",21,"Human",63,37,0.371794871794872,0.428571428571429
"1534330806_12.csv",27,"Human",12,87,0.138888888888889,0.259259259259259
"1534330916_86.csv",27,"Human",54,46,0.680555555555556,0.333333333333333
"1534331101_1.csv",28,"Human",59,41,0.513888888888889,0.111111111111111
"1534331742_48.csv",26,"Human",36,64,0.534246575342466,0.0384615384615385
"1534332602_83.csv",23,"Human",33,66,0.394736842105263,0.260869565217391
"1534333385_63.csv",24,"Human",57,43,0.813333333333333,0.458333333333333
"1534333501_68.csv",23,"Human",68,32,0.381578947368421,0.434782608695652
"1534333821_20.csv",29,"Human",44,55,0.614285714285714,0.241379310344828
"1534336010_33.csv",26,"Human",56,43,0.438356164383562,0.230769230769231
"1534336013_32.csv",22,"Human",28,72,0.0909090909090909,0
"1534336016_34.csv",24,"Human",50,50,0.653333333333333,0.666666666666667
"1534336016_8.csv",27,"Human",52,48,0.534246575342466,0.269230769230769
"1534336018_98.csv",23,"Human",33,66,0.407894736842105,0.130434782608696
"1534336019_11.csv",26,"Human",55,44,0.397260273972603,0.153846153846154
"1534336021_52.csv",24,"Human",3,96,0.0533333333333333,0.0833333333333333
"1534336021_84.csv",26,"Human",65,35,0.10958904109589,0.0769230769230769
"1534336021_93.csv",21,"Human",49,50,0.487179487179487,0.380952380952381
"1534336024_36.csv",28,"Human",35,65,0.309859154929577,0.25
"1534336024_70.csv",25,"Human",40,60,0.716216216216216,0.6
"1534336025_39.csv",21,"Human",44,55,0.346153846153846,0.285714285714286
"1534336026_15.csv",30,"Human",36,64,0.1,0
"1534336026_77.csv",26,"Human",10,90,0.123287671232877,0.0384615384615385
"1534336027_100.csv",25,"Human",3,96,0.0675675675675676,0
"1534336027_4.csv",22,"Human",47,52,0.428571428571429,0.772727272727273
"1534336028_16.csv",23,"Human",60,39,0.486842105263158,0.434782608695652
"1534336028_52.csv",24,"Human",55,45,0.6,0.0416666666666667
"1534336028_87.csv",24,"Human",77,22,0.36,0.125
"1534336029_32.csv",25,"Human",13,87,0.22972972972973,0.04
"1534336030_2.csv",30,"Human",24,75,0.536231884057971,0.333333333333333
"1534336030_28.csv",21,"Human",13,86,0.115384615384615,0.0476190476190476
"1534336031_9.csv",33,"Human",46,54,0.402985074626866,0.3125
"1534336033_84.csv",25,"Human",100,0,0,0
"1534336034_19.csv",24,"Human",44,56,0.43421052631579,0.260869565217391
"1534336034_20.csv",25,"Human",32,68,0.432432432432432,0.12
"1534336035_85.csv",23,"Human",31,69,0.43421052631579,0.0869565217391304
"1534336040_100.csv",31,"Human",48,51,0.911764705882353,0.741935483870968
"1534336040_26.csv",26,"Human",27,72,0.273972602739726,0.115384615384615
"1534336040_5.csv",27,"Human",51,49,0.232876712328767,0.0384615384615385
"1534336040_68.csv",25,"Human",12,88,0.189189189189189,0.08
"1534336041_18.csv",24,"Human",48,52,0.586666666666667,0.458333333333333
"1534336041_37.csv",19,"Human",56,44,0.6625,0
"1534336043_11.csv",24,"Human",2,98,0.0133333333333333,0.0416666666666667
"1534336045_49.csv",26,"Human",47,53,0.671232876712329,0.192307692307692
"1534336046_22.csv",28,"Human",48,52,0.661971830985915,0.392857142857143
"1534336046_97.csv",21,"Human",21,79,0.358974358974359,0.19047619047619
"1534336048_76.csv",26,"Human",46,54,0.465753424657534,0.307692307692308
"1534336050_53.csv",24,"Human",65,35,0.2,0.0416666666666667
"1534336051_78.csv",30,"Human",54,46,0.652173913043478,0.733333333333333
"1534336052_90.csv",24,"Human",63,37,0.184210526315789,0.0869565217391304
"1534336053_12.csv",27,"Human",51,48,0.652777777777778,0.407407407407407
"1534336054_32.csv",27,"Human",60,39,0.486111111111111,0.148148148148148
"1534336054_71.csv",27,"Human",39,61,0.416666666666667,0.333333333333333
"1534336058_38.csv",25,"Human",46,54,0.513513513513513,0.16
"1534336058_7.csv",24,"Human",48,52,0.631578947368421,0.130434782608696
"1534336059_21.csv",28,"Human",36,64,0.422535211267606,0.357142857142857
"1534336060_100.csv",25,"Human",40,60,0.527027027027027,0.24
"1534336060_5.csv",21,"Human",50,50,0.40506329113924,0.25
"1534336061_93.csv",32,"Human",49,51,0.298507462686567,0.09375
"1534336062_10.csv",23,"Human",6,94,0.131578947368421,0.0434782608695652
"1534336063_47.csv",26,"Human",43,56,0.534246575342466,0.230769230769231
"1534336063_66.csv",24,"Human",46,53,0.76,0.541666666666667
"1534336064_85.csv",30,"Human",64,36,0.391304347826087,0.166666666666667
"1534336066_47.csv",20,"Human",24,75,0.354430379746835,0.4
"1534336067_57.csv",25,"Human",39,60,0.608108108108108,0.04
"1534336068_26.csv",25,"Human",53,46,0.608108108108108,0.2
"1534336069_46.csv",26,"Human",18,82,0.356164383561644,0.346153846153846
"1534336071_72.csv",23,"Human",61,39,0.31578947368421,0.347826086956522
"1534336076_53.csv",28,"Human",63,37,0.23943661971831,0.0357142857142857
"1534336078_90.csv",21,"Human",63,37,0.294871794871795,0.142857142857143
"1534336082_30.csv",25,"Human",23,76,0.337837837837838,0.16
"1534336087_50.csv",32,"Human",39,60,0.388059701492537,0.09375
"1534336088_66.csv",21,"Human",56,43,0.423076923076923,0.285714285714286
"1534336091_98.csv",23,"Human",25,75,0.460526315789474,0.217391304347826
"1534336092_54.csv",26,"Human",52,48,0.0684931506849315,0.923076923076923
"1534336096_1.csv",29,"Human",37,63,0.342857142857143,0.0689655172413793
"1534336097_95.csv",23,"Human",67,32,0.43421052631579,0.173913043478261
"1534336099_7.csv",23,"Human",65,35,0.460526315789474,0.347826086956522
"1534336104_69.csv",32,"Human",73,27,0.382352941176471,0.258064516129032
"1534336106_57.csv",25,"Human",50,50,0.88,0.875
"1534336115_8.csv",25,"Human",35,65,0.621621621621622,0.04
"1534336118_98.csv",29,"Human",44,56,0.732394366197183,0.321428571428571
"1534336121_78.csv",22,"Human",59,41,0.662337662337662,0.227272727272727
"1534336126_94.csv",25,"Human",14,86,0.216216216216216,0.12
"1534336127_56.csv",28,"Human",53,47,0.619718309859155,0.642857142857143
"1534336130_64.csv",26,"Human",36,64,0.621621621621622,0.08
"1534336135_43.csv",21,"Human",77,22,0.0769230769230769,0.0476190476190476
"1534336138_79.csv",23,"Human",63,36,0.302631578947368,0
"1534336147_48.csv",27,"Human",55,44,0.763888888888889,0.37037037037037
"1534336150_21.csv",22,"Human",74,26,0.350649350649351,0.136363636363636
"1534336154_67.csv",25,"Human",81,19,0.148648648648649,0.04
"1534336154_89.csv",29,"Human",49,51,0.557142857142857,0.586206896551724
"1534336203_8.csv",28,"Human",56,43,0.647887323943662,0.464285714285714
"1534336203_82.csv",27,"Human",51,49,0.597222222222222,0.481481481481481
"1534336204_41.csv",30,"Human",50,49,0.942028985507246,0.366666666666667
"1534336227_62.csv",27,"Human",68,32,0.638888888888889,0.333333333333333
"1534336228_17.csv",27,"Human",50,49,0.736111111111111,0.148148148148148
"1534336256_96.csv",21,"Human",53,47,0.67948717948718,0.428571428571429
"1534336259_82.csv",23,"Human",58,42,0.342105263157895,0.0434782608695652
"1534336266_93.csv",25,"Human",41,59,0.716216216216216,0.68
"1534336268_33.csv",21,"Human",46,54,0.538461538461538,0.428571428571429
"1534336273_57.csv",28,"Human",42,57,0.746478873239437,0.5
"1534336317_21.csv",22,"Human",25,75,0.545454545454545,0.181818181818182
"1534336320_46.csv",23,"Human",39,61,0.74025974025974,0.590909090909091
"1534336325_62.csv",34,"Human",49,50,0.892307692307692,0.382352941176471
"1534336329_37.csv",21,"Human",19,80,0.294871794871795,0.238095238095238
"1534336333_80.csv",24,"Human",49,50,0.626666666666667,0.625
"1534336370_48.csv",25,"Human",33,67,0.5,0.08
"1534336371_12.csv",25,"Human",38,61,0.77027027027027,0.68
"1534336384_81.csv",25,"Human",43,57,0.216216216216216,0.16
"1534336422_58.csv",20,"Human",48,51,0.911392405063291,0.8
"1534336427_15.csv",30,"Human",55,45,0.385714285714286,0.137931034482759
"1534336441_100.csv",29,"Human",59,41,0.628571428571429,0.413793103448276
"1534336459_5.csv",27,"Human",65,35,0.520547945205479,0.230769230769231
"1534336469_87.csv",25,"Human",40,60,0.297297297297297,0.12
"1534336487_71.csv",21,"Human",37,62,0.384615384615385,0.428571428571429
"1534336500_4.csv",25,"Human",45,55,0.52,0.291666666666667
"1534336505_81.csv",18,"Human",53,47,0.670731707317073,0.764705882352941
"1534336508_29.csv",22,"Human",94,6,0.103896103896104,0
"1534336511_5.csv",31,"Human",39,61,0.411764705882353,0.258064516129032
"1534336533_32.csv",23,"Human",13,87,0.105263157894737,0.130434782608696
"1534336627_91.csv",19,"Human",29,70,0.4875,0.263157894736842
"1534336674_9.csv",31,"Human",48,51,0.441176470588235,0.548387096774194
"1534336711_81.csv",26,"Human",49,51,0.932432432432432,0.76
"1534336717_65.csv",26,"Human",50,50,0.150684931506849,0
"1534336744_72.csv",22,"Human",66,33,0.571428571428571,0
"1534336854_39.csv",28,"Human",51,49,0.830985915492958,0.821428571428571
"1534336879_99.csv",21,"Human",47,52,0.782051282051282,0.523809523809524
"1534336924_41.csv",29,"Human",37,62,0.628571428571429,0.586206896551724
"1534337012_60.csv",28,"Human",58,42,0.436619718309859,0.178571428571429
"1534337044_49.csv",24,"Human",66,34,0.533333333333333,0.291666666666667
"1534337054_90.csv",27,"Human",45,54,0.805555555555556,0.296296296296296
"1534337073_11.csv",24,"Human",59,41,0.386666666666667,0.541666666666667
"1534337389_56.csv",27,"Human",59,41,0.402777777777778,0.148148148148148
"1534337399_84.csv",26,"Human",60,40,0.397260273972603,0.307692307692308
"1534337495_67.csv",22,"Human",46,54,0.597402597402597,0.136363636363636
"1534337691_85.csv",21,"Human",31,69,0.576923076923077,0.0476190476190476
"1534337841_63.csv",21,"Human",38,62,0.58974358974359,0.333333333333333
"1534337895_24.csv",24,"Human",43,57,0.5,0.0869565217391304
"1534338057_32.csv",22,"Human",55,45,0.727272727272727,0.636363636363636
"1534338064_58.csv",22,"Human",47,52,0.246753246753247,0.136363636363636
"1534338166_3.csv",24,"Human",54,46,0.64,0.0833333333333333
"1534338203_54.csv",17,"Human",48,51,0.963414634146341,0.823529411764706
"1534338231_64.csv",27,"Human",55,44,0.722222222222222,0.703703703703704
"1534338402_92.csv",23,"Human",43,56,0.526315789473684,0.521739130434783
"1534339480_30.csv",20,"Human",42,58,0.721518987341772,0.4
"1534339698_55.csv",20,"Human",68,32,0.481012658227848,0
"1534339702_27.csv",25,"Human",50,50,0.932432432432432,0.6
"1534339703_31.csv",29,"Human",52,48,0.549295774647887,0.5
"1534339806_76.csv",21,"Human",60,40,0.666666666666667,0.523809523809524
"1534339850_42.csv",25,"Human",97,2,0.0540540540540541,0
"1534340337_33.csv",21,"Human",42,58,0.602564102564103,0.285714285714286
"1534340937_29.csv",25,"Human",45,54,0.45945945945946,0.04
"1534341338_18.csv",31,"Human",54,46,0.63235294117647,0.32258064516129
"1534341434_50.csv",27,"Human",38,62,0.708333333333333,0.407407407407407
"1534341772_94.csv",27,"Human",63,37,0.486111111111111,0.222222222222222
"1534343282_14.csv",23,"Human",41,59,0.597402597402597,0.318181818181818
"1534343284_34.csv",25,"Human",82,17,0.256756756756757,0.16
"1534343285_60.csv",26,"Human",67,33,0.410958904109589,0.115384615384615
"1534343288_67.csv",24,"Human",46,54,0.276315789473684,0.304347826086957
"1534343288_75.csv",28,"Human",68,32,0.704225352112676,0.357142857142857
"1534343291_12.csv",29,"Human",55,45,0.771428571428571,0.620689655172414
"1534343292_5.csv",23,"Human",43,57,0.552631578947368,0.217391304347826
"1534343294_26.csv",26,"Human",60,39,0.63013698630137,0.230769230769231
"1534343294_37.csv",19,"Human",34,65,0.6,0.421052631578947
"1534343294_63.csv",29,"Human",48,52,0.3,0.103448275862069
"1534343295_31.csv",20,"Human",53,47,0.40506329113924,0.75
"1534343295_42.csv",22,"Human",47,52,0.662337662337662,0.454545454545455
"1534343298_28.csv",25,"Human",40,60,0.364864864864865,0
"1534343298_71.csv",25,"Human",53,47,0.186666666666667,0.166666666666667
"1534343299_31.csv",24,"Human",87,13,0.16,0
"1534343299_47.csv",24,"Human",75,25,0.368421052631579,0.0869565217391304
"1534343301_28.csv",26,"Human",58,42,0.36986301369863,0.307692307692308
"1534343303_22.csv",24,"Human",46,54,0.573333333333333,0.25
"1534343303_25.csv",26,"Human",35,65,0.287671232876712,0.423076923076923
"1534343306_69.csv",25,"Human",44,55,0.608108108108108,0.48
"1534343306_73.csv",25,"Human",99,0,0,0.04
"1534343307_92.csv",31,"Human",81,19,0.147058823529412,0.032258064516129
